complaint_id,customer_id,complaint_date,channel,complaint_category,complaint_subcategory,description,transaction_id,amount_affected,currency,priority,status,resolution_date,handling_team,satisfaction_score
C00001,CUST14165,15/12/2024,ATM,Erroneous Deduction,Double Debit,Double Debit reported via atm,,0,KES,High,Resolved,20/12/2024,Finance Ops,5
C00002,CUST68878,08/01/2025,Call Center,Delay,Card Delivery Delay,Card Delivery Delay reported via call center,TXN857787,46462,KES,High,In Progress,,IT Operations,
C00003,CUST22156,15/12/2024,Online Banking,System Error,Login Error,Login Error reported via online banking,,0,KES,Medium,In Progress,,Operations,
C00004,CUST92397,26/12/2024,Online Banking,Erroneous Deduction,Incorrect Fees,Incorrect Fees reported via online banking,,0,KES,High,Resolved,31/12/2024,IT Operations,4
C00005,CUST59823,26/12/2024,Mobile App,System Error,ATM Failure,ATM Failure reported via mobile app,,0,KES,High,In Progress,,Finance Ops,
C00006,CUST80010,04/01/2025,Online Banking,Erroneous Deduction,Double Debit,Double Debit reported via online banking,,0,KES,Medium,Resolved,09/01/2025,Operations,3
C00007,CUST62581,20/12/2024,Online Banking,Customer Service Failure,Long Wait Time,Long Wait Time reported via online banking,,0,KES,Medium,Resolved,21/12/2024,Branch Operations,4
C00008,CUST86622,21/12/2024,Branch,Erroneous Deduction,Double Debit,Double Debit reported via branch,TXN836603,9863,KES,Critical,Resolved,23/12/2024,Customer Experience,4
C00009,CUST99192,02/01/2025,ATM,Customer Service Failure,Long Wait Time,Long Wait Time reported via atm,,0,KES,High,Resolved,04/01/2025,Finance Ops,3
C00010,CUST99353,17/12/2024,Call Center,Customer Service Failure,Long Wait Time,Long Wait Time reported via call center,,0,KES,High,In Progress,,Customer Experience,
C00011,CUST91959,23/12/2024,Online Banking,Erroneous Deduction,Double Debit,Double Debit reported via online banking,TXN931225,47823,KES,Medium,Resolved,25/12/2024,Customer Experience,2
C00012,CUST88504,04/01/2025,Online Banking,System Error,App Crash,App Crash reported via online banking,,0,KES,High,In Progress,,Finance Ops,
C00013,CUST73699,15/12/2024,Online Banking,Delay,Complaint Handling Delay,Complaint Handling Delay reported via online banking,,0,KES,Low,In Progress,,Finance Ops,
C00014,CUST50857,01/01/2025,Branch,System Error,App Crash,App Crash reported via branch,TXN855521,40253,KES,Medium,Resolved,06/01/2025,Branch Operations,3
C00015,CUST87128,04/01/2025,Call Center,Erroneous Deduction,Phantom Debit,Phantom Debit reported via call center,,0,KES,Medium,Resolved,09/01/2025,Customer Experience,3
C00016,CUST80678,06/01/2025,Mobile App,Delay,Transaction Delay,Transaction Delay reported via mobile app,TXN975368,16097,KES,Critical,Resolved,10/01/2025,IT Operations,3
C00017,CUST17100,14/01/2025,Branch,System Error,App Crash,App Crash reported via branch,TXN911038,28749,KES,Medium,Resolved,18/01/2025,Customer Experience,5
C00018,CUST28373,04/01/2025,Branch,Delay,Transaction Delay,Transaction Delay reported via branch,,0,KES,Critical,Resolved,09/01/2025,Operations,5
C00019,CUST95477,23/12/2024,Mobile App,Customer Service Failure,Rude Staff,Rude Staff reported via mobile app,,0,KES,Critical,In Progress,,Customer Experience,
C00020,CUST10282,15/12/2024,ATM,Delay,Transaction Delay,Transaction Delay reported via atm,,0,KES,High,Resolved,17/12/2024,Customer Experience,5
C00021,CUST51104,23/12/2024,Branch,Customer Service Failure,Long Wait Time,Long Wait Time reported via branch,TXN857068,12945,KES,High,Resolved,24/12/2024,Branch Operations,2
C00022,CUST25713,14/01/2025,Mobile App,System Error,App Crash,App Crash reported via mobile app,,0,KES,Low,Resolved,16/01/2025,Branch Operations,5
C00023,CUST41285,02/01/2025,Call Center,System Error,ATM Failure,ATM Failure reported via call center,TXN868358,34761,KES,High,Resolved,04/01/2025,IT Operations,4
C00024,CUST76307,19/12/2024,Online Banking,Erroneous Deduction,Phantom Debit,Phantom Debit reported via online banking,,0,KES,Low,Resolved,20/12/2024,IT Operations,3
C00025,CUST95717,26/12/2024,Online Banking,Delay,Transaction Delay,Transaction Delay reported via online banking,TXN960347,46607,KES,Medium,In Progress,,Operations,
C00026,CUST45697,01/01/2025,Mobile App,Erroneous Deduction,Incorrect Fees,Incorrect Fees reported via mobile app,,0,KES,Medium,In Progress,,Finance Ops,
C00027,CUST93136,21/12/2024,Online Banking,Erroneous Deduction,Double Debit,Double Debit reported via online banking,,0,KES,High,In Progress,,Branch Operations,
C00028,CUST24663,23/12/2024,Online Banking,Delay,Transaction Delay,Transaction Delay reported via online banking,TXN944619,49077,KES,High,Resolved,27/12/2024,Finance Ops,2
C00029,CUST99399,07/01/2025,Call Center,Delay,Complaint Handling Delay,Complaint Handling Delay reported via call center,TXN810458,20702,KES,Medium,Resolved,10/01/2025,Branch Operations,3
C00030,CUST33509,06/01/2025,Call Center,System Error,Login Error,Login Error reported via call center,,0,KES,Critical,Resolved,10/01/2025,Finance Ops,2
C00031,CUST71694,25/12/2024,ATM,Customer Service Failure,No Follow-up,No Follow-up reported via atm,,0,KES,Medium,In Progress,,Operations,
